datetime,open,high,low,close,volume,option_symbol,expiry_date
2024-01-31 15:32:00,10.14,10.14,10.14,10.14,10,O:SPY240214C00480000,2024-02-14
2024-01-31 15:34:00,9.95,9.95,9.95,9.95,2,O:SPY240214C00480000,2024-02-14
2024-01-31 15:36:00,9.77,9.77,9.72,9.72,35,O:SPY240214C00480000,2024-02-14
2024-01-31 15:37:00,9.68,9.68,9.68,9.68,10,O:SPY240214C00480000,2024-02-14
2024-01-31 15:38:00,9.68,9.68,9.68,9.68,10,O:SPY240214C00480000,2024-02-14
2024-01-31 15:41:00,9.75,9.75,9.75,9.75,10,O:SPY240214C00480000,2024-02-14
2024-01-31 16:09:00,10.15,10.15,10.15,10.15,4,O:SPY240214C00480000,2024-02-14
2024-01-31 16:31:00,9.91,9.91,9.91,9.91,9,O:SPY240214C00480000,2024-02-14
2024-01-31 16:32:00,9.87,9.87,9.87,9.87,6,O:SPY240214C00480000,2024-02-14
2024-01-31 16:40:00,9.76,9.76,9.7,9.7,20,O:SPY240214C00480000,2024-02-14
2024-01-31 16:43:00,9.58,9.58,9.58,9.58,10,O:SPY240214C00480000,2024-02-14
2024-01-31 16:58:00,10.0,10.0,10.0,10.0,1,O:SPY240214C00480000,2024-02-14
2024-01-31 17:37:00,9.85,9.85,9.85,9.85,1,O:SPY240214C00480000,2024-02-14
2024-01-31 18:22:00,10.22,10.22,10.22,10.22,1,O:SPY240214C00480000,2024-02-14
2024-01-31 19:05:00,9.63,9.63,9.63,9.63,3,O:SPY240214C00480000,2024-02-14
2024-01-31 19:12:00,9.62,9.62,9.62,9.62,14,O:SPY240214C00480000,2024-02-14
2024-01-31 19:40:00,10.65,10.65,10.65,10.65,10,O:SPY240214C00480000,2024-02-14
2024-01-31 19:41:00,10.98,10.98,10.98,10.98,1,O:SPY240214C00480000,2024-02-14
2024-01-31 19:48:00,10.95,10.95,10.95,10.95,37,O:SPY240214C00480000,2024-02-14
2024-01-31 19:56:00,9.95,9.95,9.95,9.95,5,O:SPY240214C00480000,2024-02-14
2024-01-31 20:04:00,8.0,8.0,8.0,8.0,1,O:SPY240214C00480000,2024-02-14
2024-01-31 20:10:00,8.31,8.31,8.31,8.31,20,O:SPY240214C00480000,2024-02-14
2024-01-31 20:13:00,8.29,8.29,8.29,8.29,11,O:SPY240214C00480000,2024-02-14
